Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,Community Board,Census Tract,log_Direct GHG Emissions (Metric Tons CO2e),log_Water Intensity (All Water Sources) (gal/ft²),Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Multifamily Housing,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility
3143,2665362,53427.0,1926,1,100,68.0,4.0,0.0,28.56,40.781333,-73.978082,7.0,161.0,5.46848199307136,3.3520071374713836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,5877227,,1975,2,100,131.2,9.7,1.0,,,,,,7.117448782571943,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,3121075,243442.0,1900,1,100,74.5,17.4,0.2,,40.723656,-73.99829,2.0,49.0,5.163642463221435,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12494,4410405,106308.0,1936,1,95,66.0,3.0,0.6,35.88,,,,,5.743644008081332,3.5801800371905954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1686,2648677,461386.0,1929,1,100,57.9,,0.0,11.7,40.751483,-73.991764,5.0,109.0,6.75786218940752,2.4595888418037104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5187,4277332,59521.0,2012,1,100,59.2,12.9,0.2,,40.806961,-73.946066,10.0,200.0,3.8877303128591016,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4442746,394644.0,1954,1,100,67.8,,0.7,68.61,,,,,5.5556690891919835,4.2284382967028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5402,3541855,94328.0,1920,1,100,17.2,4.1,0.0,40.15,40.799816,-73.96986600000001,7.0,191.0,2.6390573296152584,3.6926224403927708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2601,4845777,150800.0,2002,1,100,80.3,5.3,0.6,,40.736451,-73.978732,6.0,64.0,6.257284372702628,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1579,2721027,82354.0,1922,1,100,41.8,6.2,0.0,27.06,40.754384,-73.992742,4.0,111.0,4.81380905109942,3.2980566227426418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6508,4043072,106601.0,2005,1,100,91.9,6.1,0.8,108.48,40.823282,-73.91244300000001,3.0,141.0,5.997695096858618,4.686565824192085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8257,2722471,65400.0,1931,1,100,86.9,3.7,0.8,91.91,40.837951,-73.865511,9.0,21601.0,5.700109069289892,4.5208098373700185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1891,4404099,91777.0,1913,1,100,36.7,10.4,0.0,,40.750999,-73.988559,5.0,109.0,-0.5108256237659907,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4215,2805650,173720.0,1960,1,100,22.1,6.3,0.0,,40.769354,-73.965115,8.0,122.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3878,5986974,137136.0,1961,1,90,112.6,4.5,0.3,,40.759384,-73.969484,6.0,100.0,5.292299294222474,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13922,2772568,55662.0,1961,1,100,87.2,4.6,0.0,39.15,,,,,5.592478405097527,3.667400422436812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10747,4403929,118398.0,1941,1,100,120.7,3.4,1.2,43.28,40.634609000000005,-73.95220400000001,14.0,770.0,6.525322869984546,3.767690634538226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5312,2665400,342541.0,1943,1,100,68.7,4.4,0.6,25.22,40.792758,-73.965171,7.0,181.0,6.844815479208263,3.2276373305367736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12049,2782808,55576.0,1916,1,100,25.8,2.4,0.2,3.26,,,,,3.9589065913269965,1.1817271953786161,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10853,2794327,130496.0,1962,1,100,84.6,3.8,0.8,63.52,40.635090000000005,-73.972549,12.0,484.0,6.19644412779452,4.1513548169388805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5108,5870139,147590.0,2011,1,100,44.8,4.2,0.3,28.65,40.796476,-73.946435,11.0,17402.0,5.461710913456472,3.3551534431607486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12489,3522747,92130.0,1951,1,100,45.7,4.2,,47.68,,,,,5.655642099328266,3.8645120227570944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3337,4952039,108666.0,1929,1,100,55.5,3.2,0.2,25.89,40.792199,-73.96598399999999,7.0,181.0,5.797879798035317,3.2538567937634464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5900,2771493,53384.0,1922,1,100,152.9,9.9,1.2,271.58,40.837103000000006,-73.940497,12.0,245.0,5.815323849389109,5.604256755270649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13388,4044326,63636.0,1940,1,100,112.1,2.4,0.6,36.47,,,,,6.188058763188655,3.596490004820589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8024,2661208,73000.0,1927,1,100,79.2,3.4,,77.15,40.87462,-73.88039599999999,7.0,419.0,5.96409335031185,4.34575157880917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3761,1231058,916586.0,1982,1,95,67.5,18.8,0.0,,40.759838,-73.974165,5.0,102.0,4.967727793084979,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6149,2705501,62847.0,1920,1,100,120.0,8.1,0.4,,40.86314,-73.927213,12.0,287.0,5.92479041383999,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871,4589778,101579.0,2013,1,80,36.4,6.3,0.2,17.23,40.713414,-73.982126,3.0,202.0,4.651099117876491,2.8466520505398383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583,4042898,396607.0,1908,1,90,121.0,14.6,,50.37,40.708631,-74.010997,1.0,13.0,,3.9193957597575593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11236,3523450,60000.0,1938,1,100,66.1,2.9,0.6,45.62,40.629031,-73.967011,14.0,456.0,5.3230099791384085,3.820346216856242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6284,4495593,59718.0,1930,1,100,85.1,4.0,0.8,101.99,40.876455,-73.9085,8.0,309.0,5.425390449111513,4.624874769262426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8590,2670602,249258.0,1957,1,100,71.7,4.6,0.0,,40.89163,-73.856794,12.0,422.0,6.930690250264633,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12436,4402939,620346.0,1939,2,100,65.0,0.9,0.7,35.77,,,,,6.01200219832553,3.5771095532709265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7071,2795607,77869.0,1954,1,100,102.9,3.6,0.9,77.87,40.845725,-73.91153100000001,5.0,22701.0,6.0364379127507135,4.355040769588895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6273,4047010,461475.0,1972,1,95,105.1,6.6,0.8,352.33,40.875121,-73.912461,8.0,309.0,7.303102708902016,5.864568236419437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4063,3111868,539028.0,1967,1,100,85.8,7.3,0.4,,40.759404,-73.96521,6.0,108.0,7.266408265304497,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3115,2670867,235400.0,1923,1,100,70.0,7.0,,65.39,40.777609000000005,-73.982055,7.0,157.0,6.725393721388161,4.180369341573185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3055,2659477,132291.0,1910,1,100,71.5,5.5,0.0,18.86,40.774191,-73.977449,7.0,153.0,6.344056165609079,2.937043277205311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12467,4381926,65810.0,1965,1,100,80.5,3.8,0.7,56.51,,,,,5.486455308663431,4.034417613641752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3039,4936915,56245.0,1988,1,100,49.9,4.6,0.0,23.11,40.773535,-73.979496,7.0,153.0,4.964940334834126,3.1402654242862895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3649,4039125,303642.0,1963,1,70,111.5,9.1,0.2,,40.763744,-73.977604,5.0,11201.0,5.813831979800159,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8584,4279948,67224.0,1941,1,100,92.5,3.8,0.1,7.25,40.892624,-73.859914,12.0,420.0,5.975081067857458,1.9810014688665833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13276,5849784,90300.0,1950,1,100,126.0,5.2,1.2,99.41,,,,,6.0888180923638915,4.599252712224054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11714,5870117,52145.0,2008,1,100,128.3,26.0,0.4,,,,,,4.676560182074764,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2692,5839515,113969.0,1923,1,90,131.5,18.4,0.7,53.48,40.757781,-73.983197,5.0,119.0,6.021751239712854,3.9793077522337423,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
